stopword removal,Score_Positif,Score_Negatif,Sentiment,Score
wkwkwkkk kocak trump malu,1,-3,Negatif,-2
langsung hangus iran ragu lenyap kapal amerika serikat,1,-2,Negatif,-1
trump kena stroke,1,-1,Netral,0
duh iran langsung tembak biar kapok,1,-1,Netral,0
fidio perang televisi pandai hoax indonesia hoax hoax hoax pande hoax,1,-3,Negatif,-2
iran negara islam utus allah unt lawan zionis,1,-2,Negatif,-1
otenyg miring otak nyeeeee,1,-2,Negatif,-1
amerika serikat israel kecut puja tiang jemur,1,-1,Netral,0
nego pakistan asli amerika licik cari celah iran lengah salah tantang singa perang iran,3,-3,Netral,0
iran kondisi perang kapal usak milik amerikasedangkan amerika serang,1,-3,Negatif,-2
dasar jajah otak biadab hancur amerika serikat israil muka bumi,1,-1,Netral,0
trump saking frustasinya hadap iran,1,-1,Netral,0
sikat jajah global sikat hancur jaman asah takut iran sikat ancurkan jajah global propaganda srewel amerika basu dunia biadab manusiawi,3,-3,Netral,0
bravo iran,1,-1,Netral,0
trump tua busuk mamposss,1,-3,Negatif,-2
indonesia sila masuk amirika arab sila masuk kasih duit,1,-1,Netral,0
allahu akbar allahu akbar allahu akbar,1,-1,Netral,0
aduuu hi kompas berita sportif,1,-1,Netral,0
allah bantu iran juang jalan,1,-1,Netral,0
langsung tembak,1,-1,Netral,0
menang iran,2,-1,Positif,1
situasi panas rakyat iran kerumun an lahan buka aman rakyat perintah iran cari solusi bungker aman,2,-2,Netral,0
drama amerika serikat kalah telak,1,-1,Netral,0
oten indonesia lihat rakyat iran turun jalan dukung militer iran biar melek,4,-1,Positif,3
trump ngawur,1,-1,Netral,0
serbu amerika negara kapalkapal tangker minyak milik negaranegara dunia wilayah air iran blokade amerika serbu ramereme amerika itubikin kacau dunia iniitu wilayah iran wilayah amerika iran pasang tarif lintas wajar akibat negara bombardir amerika alami rugi infrastrukturitu garagara amerika akibat iran biaya infrastruktur negara hancur akibat serang amerika israhell,2,-2,Netral,0
kapal perang senjata kapal komersialngancam kapal senjata berani tembak,3,-3,Netral,0
dural langsung rampok kasih adab,1,-1,Netral,0
amerika serikat isrewel hantu dunia negara negara musnah hantu,1,-1,Netral,0
wajah asli ajar oten bungkus ajar kasih acau dunia jahat bantai kerja jajah negara indonesia luput kejam ajar oten manusia moral,3,-4,Negatif,-1
insyaallah allah swt iran,1,-1,Netral,0
aduh sayang kalingpain usirdi rudal langsung main rudal pimpin target usir piye,3,-1,Positif,2
bangsa rakus bangsa tahan harga daulat,1,-1,Netral,0
kemarin perang kuat rudal balistikskrg perang kuat blokade selatperang,1,-3,Negatif,-2
percaya amerika serikat negara panipu,1,-2,Negatif,-1
ngakali trump,1,-1,Netral,0
iran daulat,1,-1,Netral,0
perang woy kasih tembak,1,-3,Negatif,-2
langsung tenggelam kapal amerika serikat sandra kuat iran amerika serikat gagal cuap,1,-3,Negatif,-2
keren gas pooll,2,-1,Positif,1
nama diusirbaik kelompok hina,1,-2,Negatif,-1
gempur kasih kendor,1,-1,Netral,0
nyata usir hancur,1,-1,Netral,0
maju kapal maju nyala kudi langit biru,1,-1,Netral,0
amerika serikat zionis aplikasi sila pancasila,1,-1,Netral,0
persiden amerika mabuk kak turus hormos iran amerika,1,-3,Negatif,-2
allahhu akbar,1,-1,Netral,0
hurmuz jatuh amerika serikat zioniz licik suka kuasa dunia rang salah,3,-3,Netral,0
sebuk trump atur negara,1,-1,Netral,0
kecewa umat manusia dunia lenyap kapal milik biang kerok dunia,1,-2,Negatif,-1
hahaaa iran klaim banyaan boongnya iran berani cuman usir knapa hancur kapal kasihan iran halusinasi tutup malu negara arab iran lemah daya,3,-3,Netral,0
kena kapal cina rusia diblogade amerika serikat perang,1,-3,Negatif,-2
amerika donald bebek biang kerok ntahlah sabar lihat,2,-1,Positif,1
bravo rakyat iran jiwa ksatria mental baja medan tempur serah,1,-2,Negatif,-1
mampus kau amerika serikat modar kau esrael rudal iran,1,-1,Netral,0
rezim setan iran sebentar selesai iran peta bravo israel,1,-4,Negatif,-3
oraang gila kalah nyeret laiin diih gila,1,-2,Negatif,-1
amerika cari gara negara,1,-1,Netral,0
mimpi donald bebek allah tidur lihat jahat israel,1,-3,Negatif,-2
olah olah iran taji lawan oh berita indonesia amerika selat hormuz selat hormuz jalur amerika negosiasi cepat lambat selat hormuz asai amerika,1,-2,Negatif,-1
uraaa bravo iran stay with you,1,-1,Netral,0
malu rakyat dunia anti syiah jiwa jihad amar makruf nahi munkar nyata kholifah allah swt sunni acung jempol saudara iran syiah tokoh sunni diam sembunyi,1,-3,Negatif,-2
manusia setan basmi donald bebek hak manusia kapir moga allah tolong,2,-4,Negatif,-2
bebek menang bacot doang,2,-1,Positif,1
moga allah bela aminiran,1,-1,Netral,0
omon omon tkt kritik rakyat,1,-2,Negatif,-1
omon omon salut iran,2,-1,Positif,1
iran larang amerika uang negara miskin,1,-2,Negatif,-1
langsung rudal biar kapal selam,1,-1,Netral,0
infonesia pimpin kaya iran berani kuat bohong tkt amerika serikat rindu pimpin,3,-1,Positif,2
iran negara martabat kasi kapal perang,1,-3,Negatif,-2
amerika serikat rezim trump negara curi wkwkkw,1,-1,Netral,0
amerika israel negara jajah negara teroris muka bumi,1,-3,Negatif,-2
amerika serikat patuh runding jalan satusatunya trumph diimpeachman china rusia serang amerika serikat perang dunia,1,-3,Negatif,-2
iran jantan,1,-1,Netral,0
bravo iran,1,-1,Netral,0
usir pakai speedboat kasihan kapal perang amerika serikat lepeh kulit pisang speed boat irgc,1,-3,Negatif,-2
indonesia pimpin koyo asu,1,-1,Netral,0
otak otak jahat,1,-3,Negatif,-2
langsung bom kapal amerka kapai,1,-2,Negatif,-1
wowo mediator damai,1,-1,Netral,0
amrik langsung tembak kaya kapal selam iram tembak iran usir,1,-1,Netral,0
hoax duusir kapal lengkap sebjata canggi iran bohong,1,-1,Netral,0
iran mantap,1,-1,Netral,0
propaganda teruuuss,1,-2,Negatif,-1
iran ber etikakalo posisi iran itudi posisi bangsattt pilih tuhanseperti rudal kapall,1,-1,Netral,0
usir langsung bom,1,-2,Negatif,-1
trump netanyahu bumi moral firun kuasa tuhan pimpin dunia berani hadap langsung lawan dajjal kuasa iran rakyat,3,-2,Positif,1
iran ber adab amerika musuh putar,1,-3,Negatif,-2
trump omong renyah kaya krupukenteng bangetbicara nyata bangetpolitik trump senang hati rakyat prajurit,2,-1,Positif,1
mantapbravo iran,1,-1,Netral,0
dronnya nuju oten indonesia duaarrrr cocot oten indonesia busuk pnyembah lonteh setannyahu mamricacaca,1,-3,Negatif,-2
harap iran masuk wilayah praeran iran kapal amerika serikat kapal israel lakntullah langsung hujan rudal drown ecehan trump turun piraon tudak percaya dunia,1,-2,Negatif,-1
duduk muslim indonesia sungguh dukung negara islam iran qatar yaman usir campur tangan pasu militer amerika negara masuk selat hormuz selat almandab moga negaranegara teluk tiru merekaamin rabbal alamin,5,-1,Positif,4
bbk trump gila,1,-2,Negatif,-1
wilayah iran oncom ribet oncom,1,-1,Netral,0
bravo iran musnah trump israel,1,-1,Netral,0
amerika serikat badut,1,-2,Negatif,-1
kaya sikopat,1,-1,Netral,0
bohong indonesia dunia bohong konohairan hancur berani lawan amerika serikat israel indonesia bohong,3,-2,Positif,1
kompas cek sumber berita janganjangan hoax,1,-1,Netral,0
lapor pro iran pakai semuapenuh kebohonganbeda israel usga cuman ngomongsekalian bukti serang hancur nyata gaza irancoba bayanginuda hitung pimpin iran hizbulah hamas sikatpengen omong lagiya segitu cuman kerja iran hamas hizbulahbier kalah parah medan asel neng medsosmenurut untung,1,-2,Negatif,-1
pura pura trump damai,1,-1,Netral,0
langsung rudal,1,-1,Netral,0
astaghfirullahkok usir rudal langsung biar mampus dirudalbahkan warga maninggal suruh putar balekrudal langsungaduuhkok bodoh sihmusuh amin andai masuk wilayah amerika serikat habis rudal,1,-2,Negatif,-1
usir buka rudal langsung,1,-1,Netral,0
iran hati,1,-1,Netral,0
iran bangsa juang sejati negara berani ancam kapal amerika gagah usir kapal perang amerika salut bangsa iran,3,-3,Netral,0
tembak langsung kapai pakai usir,1,-1,Netral,0
aha bayak kali bahong tembak langsung,1,-1,Netral,0
bravo iran is best,1,-1,Netral,0
mantap iran ayo perang mantap,1,-3,Negatif,-2
trump kocak,1,-1,Netral,0
super power kroyokan an amsyong kelas iran samain venezuela,3,-1,Positif,2
drama negara rakus vs neegara kecut nuklir langsung nuklirin israel negosiasi pimpin lu bunuh masyarakat bantai tunggu monyet runding,1,-1,Netral,0
trump salah fatal serang negara iran daulat runyam ruwet ruwet joko dampak negara negaranegara tingkat global,1,-2,Negatif,-1
tembak kpal amerika serikat ancurkan,1,-1,Netral,0
amerika negara premanpenjahat perang,1,-3,Negatif,-2
trump donald bebek stres,1,-2,Negatif,-1
iran langsung tenggelam nyatapi iran cerdasiran malu mamarica sekian kali iran bukti negara adi daya nyata daya goodbjob iran,1,-3,Negatif,-2
negara obok dasar mamarakus,1,-1,Netral,0
amerika perangkemudian iran tutup teluk hormuz akibat serang inisekarang amerika muncul pahlawanuntuk bebas teluk hormuspadahal teluk hormuz aman amerika serikat serang iranlawak,2,-1,Positif,1
kapal cuap ngusir amerika serikat armada laut kuat sejarah,1,-1,Netral,0
ngusir pakai pakai getek,1,-1,Netral,0
kla iran pegang kendalitembak kapal laut kla berani nembaktunjukan dunia oke,3,-1,Positif,2
masuk crot wkwk,1,-1,Netral,0
amerika tutup selat homuz amerika risiko kena inflasi energi biaya militer hilang legitimasi eskalasi perang untung iran narasi moralpolitik amerika serikat lihat eskalasi leverage energi harga minyak dunia panikdaya tawar diplomatik tuntut iran sulit diabaikankonsolidasi internal deterrence rakyat rapat lawan iran kartu strategis,1,-3,Negatif,-2
iran keok,1,-1,Netral,0
bisah omong usir tidaknb kapai omong,1,-1,Netral,0
percaya berita nyakenapa usirkenapa hancur rudalkata iran kuatselat hormuz kuasa rudal kapal drone irankenapa usir ngusir anak meongkok tembak hancur,1,-2,Negatif,-1
masuk china berani china hikhikhikhik,3,-1,Positif,2
trump should keep his own door,1,-1,Netral,0
bohong film perang amerika kalah nyata sadar film,1,-3,Negatif,-2
presiden salah bantal,1,-2,Negatif,-1
negara sombong amerika dunia milik zionis amerika laknat dajjal,1,-2,Negatif,-1
ayo beli produk amerika,1,-1,Netral,0
presiden trump bodoh dunia,1,-2,Negatif,-1
wkkkkkkk ngaciiiiirrrr,1,-1,Netral,0
suasana perang langsung rudaltidak kasih peringatantetapi adab perang islam,1,-3,Negatif,-2
cuba halang kapal china rusia tengok laku negara kapal korea utara,1,-1,Netral,0
amerika sombong,1,-2,Negatif,-1
ilaha illallah muhammadur rosulullah hasbunallah wal nikmal wakilnikmal maula wal nikman nasir kobar semangat muslimin wal muslimat muminin wal muminat musnah zionis juang suci umat islam dunia surga mawa tuju umat islam dunia mati syahid jalan pilih umat islam dunia,4,-3,Positif,1
kompas tv nyata media iq percaya video ah namnay media indonesia,1,-2,Negatif,-1
iran kasih negosiasipdhl emas hancur kapal amerika serikat,1,-1,Netral,0
trump ente tmpleng xi jimping menang yasllaammm,2,-1,Positif,1
usir tembak bom usir,1,-2,Negatif,-1
henti membanggabanggakan ajar amerika serikat bawa munafik sombong congkak fakta lemah kecut cundang serang duluan keroyokan mencret bantu sanasini bantu malu ajar iran hidup singkat manfaat makna manusia bangsa negara perang ekonomi asisrael remuk tapa pedih derita ekonomi rakyat iran palestina embargo negar hamba setan gober setanyaho tua habis bunuh manusia jahat,2,-4,Negatif,-2
nyata trump hasil bodoh warga lumpuh kuat iranfaktanya perlawananbahkan pesawat rontogpangkalan militer hancur lebur tekan iran genjatan senjatafaktanya amerika serikat mohon bernegosiasiterbukti iran mendekte amerika serikat penuh tuntut iran,1,-3,Negatif,-2
amerika malu masak blokade selat hormuz amerika,1,-3,Negatif,-2
mulut donald bebek bau kentut jomberan bikin dunia aman,2,-3,Negatif,-1
love iran,1,-1,Netral,0
mundur kau kalah kapokkapok,1,-2,Negatif,-1
habis gelap terbit terangiran negara cerdas bijak,2,-1,Positif,1
amerika serikat terrorisnya dunia,1,-1,Netral,0
duhhhhsalut dahbangsa iran mental tungsten,1,-1,Netral,0
balas iran kapal selat hormuz selat hormuz,1,-1,Netral,0
mesti oten video ai kapal induk mamarika sakti mahal dunia rusak parah hajar balistik iran media tentara india bilang kapal induk amerika serikat rusak parah tuju india upaya sila baca tonton media percaya media indonesia,1,-2,Negatif,-1
assalamualaikum bunuh musuh negara hormuz,1,-3,Negatif,-2
blokade jualbeli minyak iran langgar ekonomi internasional negara adikuasa sengsara masyarakat islam dunia partner isrewel,1,-1,Netral,0
bilang amerikamahgak t t ditanganirantp awas main nuklir loh,1,-1,Netral,0
ngibul irgc jagox irgc kapal al trumbu karang,1,-1,Netral,0
hahahahhaha lucu mah suara rekam edit tunggu besok lusa habis pulau kharg,3,-1,Positif,2
amerika serikat israel posisi iran boom dunia condong iran taktik bnerdan hindar planggaran,1,-1,Netral,0
amerika berani perang mulut doang,3,-3,Netral,0
oten kafir indonesia kejang puja oten malu,1,-3,Negatif,-2
jahat lawan kuat bantu allah,1,-3,Negatif,-2
rudal sihtuman,1,-1,Netral,0
ayo bom bom seraaang,1,-2,Negatif,-1
kirim paket nuklir iran selesai lamalama hadap iran,1,-1,Netral,0
bravo iran lenyap zionis israel amerika munafik,1,-3,Negatif,-2
hajar iran,1,-1,Netral,0
bebek kalah telakk,1,-1,Netral,0
sipirang mbacotnya gila idiot stupit gila bikin gadug dunia,1,-2,Negatif,-1
gila trump bicara cocok bohong kau gila,2,-2,Netral,0
hebatkalau berita usir kapal usak amerika serikat,1,-1,Netral,0
kalah kecewa sebentar gila,1,-2,Negatif,-1
asek tawur,1,-1,Netral,0
negosiasi akal akal teroris mamarika,2,-3,Negatif,-1
amerika preman paksa kapal kapal izin wilayah bayar preman dunia,1,-2,Negatif,-1
kecut licik penuh tipu tipu,1,-3,Negatif,-2
amerika tindak bodoh,1,-2,Negatif,-1
wow hebat iraneskoun keroyok negara adidaya nyata kaya kerupuk rengek bantu sekutu,4,-1,Positif,3
setantrump munafik bsar mulut,1,-3,Negatif,-2
kapai ancam omlgsung tembak biar modar,1,-1,Netral,0
tuju israel amirika sungguh rampok jajah negara kaya an limpah negara amirika israel takut iran nuklir jajah rampok,1,-3,Negatif,-2
patut amirika pasuk wilayah negara paksa arti jajah,1,-2,Negatif,-1
rampok sungguh amerika serikat,1,-1,Netral,0
bravo iran,1,-1,Netral,0
hoax kapal amerika serikat masuk drun,1,-1,Netral,0
assprti anaka anak main keroyokan,1,-1,Netral,0
rakyat malaysia percaya probowo ajar iran cakap rakyat iran keras kepala probowo layak presiden indonesia,2,-3,Negatif,-1
ladang bisnis amerika iran kapal bayar iran bayar amerika,1,-1,Netral,0
percaya mamarika licik mamarika lawan keras kapal us,1,-3,Negatif,-2
sokong sepenuh iran irgc moga allah swt bantu iran irgc hancur amerika zionis laknatullah muka bumi insyaallah allahumma sholli ala sayyidina muhammad waala alisaidina muhamad amin,1,-1,Netral,0
rezim iran bunuh tega warga iran warga indonesia nyata empati warga iran bunuh bela ircc jati perikemanusiaan warga kokoha lupa siksa kubur temu ajal kelak media indonesia cendrung bela rezim barangkali kontaminasi paham teroris lihat kanal et news kanal ppr global kanal i kanal bisnis geopolitik kanal amerika serikat israel serang rezim takut tehnik rezim lindung manusia jembatan jaring listrik iran serang amerika serikat israel takut strategi rezim kecut tuhan allah berkat amerika serikat israel lihat endingnya rezim lenyap iran,2,-3,Negatif,-1
moga iran menang lawan jajah,2,-2,Netral,0
amerika serikat serang duluan negosiasi,1,-1,Netral,0
langsung musnah kpl kpl donald trump biar modar crew amerika,1,-1,Netral,0
megada ngada trump negara iran hak hak mutlak iran amerika malu otak masuk air,2,-3,Negatif,-1
amerika serikat kabur kencing kencing,1,-3,Negatif,-2
mantab iran negara muslim sejati berani lawan negara sionis jajah israel amirika wargamuslim cumabisa doa moga iran kuat menang amin,3,-2,Positif,1
kapai usir rudal langsuang kaya iran lemah,1,-2,Negatif,-1
negara negara islamsaudaramu serang jajah,1,-1,Netral,0
allah menang iran amin,2,-1,Positif,1
tindak kejhatan amarika hadap hidup umat dunia,1,-1,Netral,0
kaya seru film,3,-1,Positif,2
bacot trumpsemoga balas timpal maha kuasa,1,-1,Netral,0
amerika serikat super power tahi kucing,3,-1,Positif,2
amerika tunduk iran,1,-2,Negatif,-1
percaya rezim syiah iran sia pakai jurus taqiya hati hati tipu,1,-2,Negatif,-1
nyata amerika sungguh malu,1,-3,Negatif,-2
retorika berani pasu teroris amerika serikat takut mati,3,-3,Netral,0
habis amerika bravo iran,1,-1,Netral,0
minyakiran ngapa donald bebek kepanasandasar iblis wujud manusia,1,-3,Negatif,-2
dram berani coba terjun langsung lapang,3,-1,Positif,2
berita bohong perang usir kapal usak irankan langsung tembak kapal usak amerika serikat pembohongpembohong berita kanoha,1,-3,Negatif,-2
hancur amerika israel,1,-1,Netral,0
gemoy omon omon juru damai us vs iran,1,-1,Netral,0
maju tumpas pe njajah,1,-1,Netral,0
iran kapal perang us hormuz bikin drama ngusir kapal perang dasar tukang ngibul ngibul tolak singkron haduuu bul ngibul,1,-3,Negatif,-2
iran sebar hoax negara dukung indomi harap media tolong bicara media indonesia berita palsu heran heran heran indonesia,4,-2,Positif,2
rakyat indonesia dukung penuh iran doa doa kamisemoga iran kuat,4,-2,Positif,2
negara kembang perang dunia drpda adil pbbb,2,-3,Negatif,-1
mantap langsung serang perang,1,-3,Negatif,-2
iran minyak amerika sengsara butuh minyak harga pangan amerika serikat,1,-1,Netral,0
omon blokadektnya negara adidaya,1,-1,Netral,0
amerika serikat lawan imbang trump pening yahudi takut,1,-3,Negatif,-2
amerika serikat jahat kelas dunia bukti negara hasil tambang kuasa tunduk mamarika bravo iran maju amerika serikat injak kaki timur tunduk amerika serikat,1,-3,Negatif,-2
ayam sayur ciut leher cekek tinggal sembelih ustadz iran,1,-2,Negatif,-1
negara hubung dngn amerika serikat bidang tunggu rudal zhejjilll,1,-1,Netral,0
drama kolosal dipercayadiberitakan media indonesia wkwwkk,1,-1,Netral,0
amerika masuk selat hormuz paksa masuk resiko tenggelam masuk zona jangkau rudal balistik iran,1,-2,Negatif,-1
media kelas kompas hoaxberita kapal amerika serikat selat hormuz amantonton berita negerimediabindonesia sebar hoax,1,-1,Netral,0
barusan kapal amerika masuk selat hormuz bebas lenggang ganggu irgc berani serang cumak mondar mandiraja,3,-1,Positif,2
hebat warga iran dukung perintah hadap setan setan,4,-4,Netral,0
blokade alas doang numpuk kapal amerika serikat teluk hormuz serang,1,-1,Netral,0
kapai perang nikmat hidup,4,-3,Positif,1
malu trump,1,-3,Negatif,-2
iran best bangga irannegara lawan bunuh massal jajah biadab prayfor iran,2,-2,Netral,0
bravo iran oten pesek kecewa kuat super power,3,-1,Positif,2
kawan amerika turun militer penuh iran habis muka bumi doa negara iblis iran lenyap muka bumi,1,-3,Negatif,-2
usir langsung ledak,1,-1,Netral,0
allahuakbar allahuakbar allahuakbar tentara allah,1,-1,Netral,0
negeri trump hadap makzul anggap pikun offside,1,-2,Negatif,-1
donald bebek cari gara iran hajarabis,1,-1,Netral,0
teroris adi daya usir anak anjing,1,-3,Negatif,-2
donald trump licik,1,-3,Negatif,-2
malu bantu natootak trump dorsmers biar bersihmenutupin kekalahanbravo iran,1,-3,Negatif,-2
iran mati hidup tahan hurmuz hurmuz senjata dukung iran angin,4,-3,Positif,1
neg dunia usir lawan keras amerika biadabkecuali neg islam iran usir sembah pantat trump bebek,1,-3,Negatif,-2
media sampahrezim bunuh punahmasih hibur,1,-1,Netral,0
iran hak tahan selat hurmuz,2,-1,Positif,1
masuk usir bravo iran,1,-1,Netral,0
trump koar koar tutup kalah lawan iran sombong trem hancur tangan tentara iran,1,-3,Negatif,-2
trump manusia kera ingkar,1,-1,Netral,0
kapal usak cegat muka pakai kapal boat perang masuk air dalih bersih ranjau laut ahhhhhh tipu daya banget pasu voc,2,-3,Negatif,-1
iirrraaaannnn awww,1,-1,Netral,0
trump rudal biar mulut kaya comberan,1,-1,Netral,0
allah kuat berani iran usir kapal amerika serikat selat hormuz,3,-1,Positif,2
tutup selat hormuz wowo dpr bubar,1,-1,Netral,0
allahuakbar bravo iran hatam kapal amerika selat hormuz timur bumi hangus zionis bunuh donald bebek bunuh benyamin tukang merdeka bangsa palestin,1,-2,Negatif,-1
terima kasih iran bela negara bela umat muslim dunia sehat umur berkah barokah limpah urus mudah tuhan sukses dunia ahkerat islam bangkit juang lawan bangsa setan sejarah jahat menang hebat senjata tentara serang negara islam rampok rampas bunuh fitnah ending sejarah islam kalah lawan bangsa setan tuhan maha kuasa maha monster tua bau tanah iblis gangster teroris monster bangsa pilih setan kubur setan gemas lihat pimpin hati gangster manusia moral ahlaq etika atitudnya bejad busuk otak hati buta pimpin,4,-4,Netral,0
taqiyah iran propaganda video video perang kapal hormuz langsung tembak,1,-3,Negatif,-2
berita iran hoax irgc suka bohong,3,-1,Positif,2
waohhh iran usir kapal usak amerika serikat,1,-1,Netral,0
kapai pakai pringatan langsung bom,1,-2,Negatif,-1
takut amerika serikat,1,-3,Negatif,-2
usir kapal usak destroyers pakai speed boat tonton berita logika usir speedboat destroyer langsung panik,1,-2,Negatif,-1
hebat berani iran mantap langsung hancur kapal musuh sombong,4,-3,Positif,1
setan setan amerika serikat donald trump musnakan iran lawan,1,-4,Negatif,-3
tromp blokadetrus kapal negara ranggak papakalo kapal rusia china serangbiar rame,1,-1,Netral,0
amerika gempur rame,1,-1,Netral,0
langsung rudal,1,-1,Netral,0
israil doyan tembak tembak gadget dunia nyata,1,-1,Netral,0
oten budak yahudi kabur,1,-2,Negatif,-1
usir iran cuman usir rudal langsung musuh didpn mata bodoh,1,-3,Negatif,-2
trump blokade selat hormuz kapal destroyer amerika serikat bully boat iran,1,-1,Netral,0
allahuakbar allahuakbar allahuakbar allahuakbar maju,1,-1,Netral,0
selat hormuz hak milik irantramp main enak sendiritramp golingkan rakyat,2,-1,Positif,1
tembak biar mampus,1,-1,Netral,0
donald bayak bacot,1,-1,Netral,0
keren iran maju insyaallah menang,2,-1,Positif,1
kompas kadrun,1,-1,Netral,0
hahahhahah hoak,1,-1,Netral,0
rakyak indonesia dukung indonesia iran iraq yaman lebanon palestina china koreautara belarusia pakistan rusia maju pantang mundur,4,-2,Positif,2
kakean cocot trump,1,-1,Netral,0
tembak kapal asmereka curang al iranmanusia biadab kubur laut presiden trump setanyahu,1,-3,Negatif,-2
cundang cundang tramapa alsannu nutupi berdayanmu lawan iran dikroyok cundang gertak smbalmu iran cuil getar,1,-2,Negatif,-1
usir pakai rudal,1,-1,Netral,0
amerika serikat sok punyatipikal jajah serakah,1,-2,Negatif,-1
usir besok kuasa,1,-1,Netral,0
semangat iran,2,-1,Positif,1
indonesia pimpin contoh irantdk tunduk antek asing omon omon,1,-2,Negatif,-1
iran muslim timur ngancurin amerika serikat israel,1,-1,Netral,0
lapang udara amerika serikat israel timur ancurkan iran bikin negara hancur licik picik islam apspun,1,-3,Negatif,-2
donald bebek omong,1,-1,Netral,0
bagus trump blokade hormuz biar minyak mahal amerika bangkrut,3,-3,Netral,0
wow seru trump koar koar kirim kapal perang nyata kena mental lansung putar,3,-3,Netral,0
fakta speed boat iran mutarsudah kapal perang amerika serikat,1,-3,Negatif,-2
ayo iran rudal kapal amerika serikat biar hancur seliwer laut timur,1,-1,Netral,0
hidup iran,1,-1,Netral,0
perang ngusir rudal jantan,1,-3,Negatif,-2
gertak doang coba berani,3,-1,Positif,2
negara daulat,1,-1,Netral,0
suka suka iranlah jual minyak lucu trumph gagal gaul eh main ancam bocah laku menang rugi hak bilang jahat malu,3,-3,Netral,0
bjak lawt pmeras dilnyapkan,1,-1,Netral,0
kapal iran hancur,1,-1,Netral,0
benarjangan ngawur,1,-1,Netral,0
usir rendah usir memgusir anjingkurap usir setan dall anggap rendah hahahahhaaapreettttt rudal langsung,1,-4,Negatif,-3
dukung iran kuat,4,-1,Positif,3
patut tunggu respon paman trump usir kapal amerika serikat kembang api amerika serikat iran,1,-3,Negatif,-2
amerika negara adidaya kelojot lawan iran sirewel anak kemarin sore sok ajak perang iran,1,-3,Negatif,-2
kapai pringatkansiikan peranglangsung ledak,1,-1,Netral,0
iran bohong usir kapal perang amerika video,1,-3,Negatif,-2
usir boom perang latih,1,-3,Negatif,-2
iran ciri bangsa solid rakyat kompak bangsa sia bangsa kemarin sore dengar sejarah ngeri,1,-2,Negatif,-1
geronbolan kafir berani nya main keroyokan ujung nya kabur,3,-2,Positif,1
iran sangsi hidup ngaruh iran mati rakyat amrika,1,-3,Negatif,-2
tipu daya ajak brunding pasuk kapal prang sikat kapal prang amrika biar tengglam,1,-2,Negatif,-1
suka pange kobong ngana ambe pisang bo ujan,3,-1,Positif,2
usir sakit ngontrak rumah usir terima sakit nyatu,2,-2,Netral,0
perang pakai protokolerseperti kejuaraanada time break juara perang negara,1,-3,Negatif,-2
bravo iran,1,-1,Netral,0
idqak kapok awak alah kalahkapal induk kabur mase onar,1,-2,Negatif,-1
amerika gembong rampok nyata perilaku biadab,1,-1,Netral,0
usir rudal langsung kasih langsung rudal biar kuat,1,-1,Netral,0
malu amerika nyapir minyak iran nya negara kaya hah,1,-3,Negatif,-2
amerika syarikat amerika serikat,1,-1,Netral,0
hhahaha amerika serikat israwel salah lawan kali temu buku ruas iran lemah nyata lemah amerika serikat israwel,1,-2,Negatif,-1
rudal sajakasih ajar amerika,1,-2,Negatif,-1
amerika serikat pegang trumpet hancurrr trumpet lupa gila setress dst,1,-2,Negatif,-1
iran langsun bomtp amerika serikat usir,1,-1,Netral,0
rudal kapal usak amerika serikat bravo iran,1,-1,Netral,0
manusia licik sombongtrum inimau negara tunduk,1,-3,Negatif,-2
mantap iran hajar musuh sopan,3,-3,Netral,0
coba berani tembak tembak berbahyalah iran,3,-1,Positif,2
terima kasih iran rusia cinabiar sombong zionis israel,2,-2,Netral,0
kapal minyak antek amerikaisrael gkbisa rkyt sengsara harga naeknyari krj susah dagang gulung tikar,1,-1,Netral,0
hancur lebur israel ampun,1,-1,Netral,0
iran menhamtam pangkal amerika hantam langsun pakal amerika rakyat trauma usaha turun trump,1,-4,Negatif,-3
balas ampun israel amerika jajah biadab jahanam jihad lenyap israel amerika pentagon allohuakbar allohuakbar,1,-2,Negatif,-1
minyak hasil ngerampok negara dasar jajah sombong,1,-2,Negatif,-1
bukanekonomirantapimenghambat ekonominegaranegaralainjuga,1,-1,Netral,0
allahu akbar allah swt menang iran jaya iran tegak islam,2,-1,Positif,1
tukang obat laku jual obat bohong,1,-1,Netral,0
ac a,1,-1,Netral,0
sembarang bicara situasi lapang,1,-1,Netral,0
iran fatut bir fah lawan fejuan jahat,1,-3,Negatif,-2
dunia kalah amerika irael aman femeras mintak jatah alas medafat setiaf tiaf negara,2,-1,Positif,1
iya kaiau amerika minyak gafa bersikras memblokkade slat hurmus tanda kerukusa negara amerika serikat,1,-1,Netral,0
hancur iran,1,-1,Netral,0
allahu akbar indonesia dukung iran,4,-1,Positif,3
i r a n,1,-1,Netral,0
hak veto pbb negara dukung jalan rencana iya israel hak veto amerika,4,-1,Positif,3
blokade jalan lancar nyata perang blokade rusak tiada penggunaannyaagar lancar jalan pikir pikir,1,-3,Negatif,-2
turun pasu aman pbb blokir jalan kapal selat tersebutsebab ganggu situasi aman daerah tersebutayo turun pasu,2,-1,Positif,1
israel selat hormuzh merdeka negara palestina iran izin kapal amerika serikat israel selat syarat mantap,1,-1,Netral,0
damai perang damai dunia negara merdeka hak asasi negara masingmasingbisa telusur salah,2,-3,Negatif,-1
