stopword removal,Score,Sentiment
trump membual pikun,-2,Negatif
hancurkan kapal perusak milik amerika serikat iran mudah menjual minyak sekutunya,-1,Negatif
kasihan tentara kelas pratu dijadikan korban ambisi pemimpinnya gangguan jiwa,-1,Negatif
semoga allah swt jaga iran melawan sang penjajah zionis laknatullah amerika,1,Positif
bentar iran hancur leburrrrrr,0,Netral
masyaallah iran,0,Netral
iran gentar melawan kejahatan mati syahid mamarika isriwil perang takut mati mati sangit gosong langsung neraka jahanam,-3,Negatif
aneh wilayah kuasai,0,Netral
omon omon bebek inimalah putar,0,Netral
langsung rudal,1,Positif
bravo iran,0,Netral
amerika perusak dunia sok hebat sok jago,1,Positif
tramp iku koyo telek ayam pas anget mambu nek wes adem ambune wes ra nguati,1,Positif
intinya yesus tuhan mati logika goblok,0,Netral
iran diancam trump trump,0,Netral
rudal balistik kapalnya,0,Netral
anjing amerika serikat malu,-1,Negatif
bilangnya trump rudal kepalanya,0,Netral
bikin ulah donald kram setan nyaho gila,-2,Negatif
selat hormuz milik wilayah kedaulatan iran amerika ribut dasar trump setan jahanam,-1,Negatif
negara kriminal soksokan menguasai dunia perilaku jagoan bak preman pasar,2,Positif
dunia takut amerika,0,Netral
berita negeri bilang kapal amerika selat hormut gangguan dirone iran mengganggu dinetralisir berita indonesia beda sekelas kompas beritanya meragukan warga indonesia senang berita hoax,-8,Negatif
amerika malu kekalahan cari alasan,-1,Negatif
allah melindungi iran,1,Positif
langsung dirudal byr hancur,1,Positif
usir wilayah,-1,Negatif
tutup ajaseluruh dunia menyalahkan iranmantan,-1,Negatif
berita hoaxitu kpl fregat usabukan kpl kiri,-2,Negatif
langsung tenggelam,1,Positif
rekaman iran gambarnya gelap gulitaini bohongkompas tv kapal perang angkatan amerika bolak selat hormusjadi propaganda rejim iran bohongnyafaktanya berbeda,-5,Negatif
indonesia mendukung negara iran melawan amerika israel negara negara teroris dunia,0,Netral
rakyat iran bersatu melawan amerika,-1,Negatif
amerika main keroyokan bantu negara nyali berperang,0,Netral
iran rudal kapal kesempatan,-1,Negatif
usir dihanjurkan,-1,Negatif
trump is crazy president,0,Netral
penyepong donald setan,-1,Negatif
dajjal trump setanyahu zionist terrorist,0,Netral
kau iran langsung rudal,1,Positif
slat buka cari perkara slat tutup iran mebuka selat kunjung berhasil memblokade amerika serikat ki,-2,Negatif
preman mencari receh laut,-2,Negatif
ditembaktapi yamungkin iran takut target jarak,0,Netral
aduhhhsekelas kompaspercaya inipropagandamengusir kapal amerika serikat,-1,Negatif
donald bebek otak massa negara blokade otak waras sok kuasa keok,0,Netral
wkwkwkkoq takut mengapai pakai diusir presiden rudol amerikagiliran kapal militer amerika pakai diisiriran penakut besarr omong pengamat media,-2,Negatif
china rusia pengawal kapal penjualan minyak iran zona aman,-1,Negatif
trump berceloteh ucapkan,-1,Negatif
untung diusir musbahkan,-1,Negatif
kejahatan amerika meluas iran kalah perang kuba sasaranberikutnya negara islam tida bersatu membantu iran,-1,Negatif
presiden us malu malu rakyat dunia simbang menggebu buka nutup selat hormuz bentak tentaran iran langsung kabur bravo iran jadikan iran pemakaman masal tentara us,0,Netral
ajaairan berita lengkap,-1,Negatif
amerika hidup nya tergantung timur tengahngk hidup amerika tapa timur tengahhe,2,Positif
percakapan radio lengkap kapal amerika serikat bersihkan ranjau menonton berita negeri biar bohongi tv indonesia,-2,Negatif
goooogooomantap irann takbir allahuakbar,0,Netral
faktanya giliran digertak langsung kanan boat irgc usir kapal perang usaa,-1,Negatif
tenggelamkan biar dunia aman wajib hukumnya penjajah iran,-1,Negatif
arab saudi israel irgc iran teroris indonesia idiot teroris irgc dibunker matikan israel amerika kapal pesawat iran indonesia idiot,-4,Negatif
hahahaha pasukan cupu kaburrr kabur bommm,-2,Negatif
allahu akbar maju iran dngn kekuatan allah iizinnya amerika serikat kao,2,Positif
sok berkuasa amerika serikat pikir wilayah,1,Positif
you are strong you are capable you must,0,Netral
iran mengusir kapal perang teroris amerika bravo iran urraaaa,-3,Negatif
bravo iran thank you iran,1,Positif
rampok rumah berpura pahlawan,0,Netral
damai trump dasar waras trumiran sglanya kejulidan trump iran trump menyerang,-1,Negatif
amirika serikat menilai negara,-1,Negatif
amerika serikat aneh presiden gila,1,Positif
kuat blokade rugi global tertekan,-1,Negatif
omon omon masuk langsung crot,0,Netral
kapal perang amerika diancam tembak iran amerika mundur jugatakuuuut,-3,Negatif
us bermimpihanya menjaga nama baiknya super power kalah kalah wkwk,-2,Negatif
cemen ngaciirr,0,Netral
bravo iran,0,Netral
kenyataannya amerika menyerang rakyat sipil pasilitas sipil giliran ketemu tentara mah kabur omong doang gede,-2,Negatif
gertak melawan kapal peran us omong doang out out,-3,Negatif
kapal perusak nurut iran kocak iran,-2,Negatif
lucu belokade diwilayah iran,0,Netral
alaahh hoax kadrun berhalusinasi,-1,Negatif
srang kasih ampun kaum zioniss,0,Netral
peluang asisrael,0,Netral
iran iran dibodohi trumyg bodoh,0,Netral
allahu akbar bravo iran allah swt anugrahkan saudara iran kekuatan kemenangan menghajar kesombongan amin,2,Positif
indonesia berani ngusir kapal,-1,Negatif
mengatur negara berdaulat,-1,Negatif
menang menembak pki kasih mamrika bom diam modar,-1,Negatif
pret perang mengapai bom hoax jak,-2,Negatif
menyerang panik,-2,Negatif
donald bebek percaya kasih rudal iran dongo kasihani amerika penjajah,1,Positif
perabowo marah menolong kapal amerikadonald bebekrakyat tumbal diledak israel ziones,-1,Negatif
hoaxxx parahhhh media mebedakan hoax real bodohhhhhh pakai logika udara dikuasai israel amerika serikat gerak musuh dibawahnya hancurrrrr bossss media media hoaxxx,-2,Negatif
amerika serikat mengajak nego langsung tiolak hai iran,2,Positif
percaya percaya,2,Positif
berita hoaks kompas,-2,Negatif
iran muak amerika serikat,-1,Negatif
lihat singapur berani,1,Positif
betapa malunya kpal prusak amerika suruh arah,0,Netral
malu nutup wilayah negara dasar mental perampok,0,Netral
idiiiihh mengapai ganggu negara trumpet trumpet,-1,Negatif
aneh negara blokade amerika serikat grombolan orgildan negara sakit mental,-1,Negatif
suara kemarin koar iran ciut nyebar n berita hoalkhai pemakan babi buka mata lu lebar biji mata lu,-5,Negatif
kendali irgc hormuz yes yes yes mantaaaap,3,Positif
lindungilah iran umat muslim didunia allah,3,Positif
bravo iran berwibawa kompromi usir amerika timur selat hormuz,0,Netral
hoax hoax hoax rekaman,-3,Negatif
malunya gaya doang negara supel powel,0,Netral
presiden amerika perdana menteri israel iblis dajjal dunia,0,Netral
sidonald negaranya perusak tatanan alam kemesraan dunia,0,Netral
bagus iranamerica licik untung hilangkan amerika peta,0,Netral
bravo iran negara kuat mandiri berani beda kono ah anjir,-2,Negatif
negara super power presidennya odgj parah,-1,Negatif
wkwkwkkk kocak trump malu,-1,Negatif
langsung hanguskan iran ragu melenyapkan kapal amerika serikat,-2,Negatif
trump kena stroke,-1,Negatif
duh iran langsung tembak biar kapok,-2,Negatif
fidio perang televisi pandai hoax indonesia hoax hoax hoax pande hoax,-6,Negatif
iran satunya negara islam utusan allah unt melawan zionis,2,Positif
otenyg miring otak nyeeeee,-1,Negatif
amerika serikat israel pengecut pujaan tiang jemuran,0,Netral
nego pakistan aslinya amerika licik mencari celah iran lengah salah menantang singa perang iran,-6,Negatif
iran kondisi perang peringatan kapal perusak milik amerikasedangkan amerika menyerang,-2,Negatif
dasar penjajah otak biadab hancurkan amerika serikat israil muka bumi,0,Netral
trump saking frustasinya berhadapan iran,0,Netral
sikat penjajah global sikat hancurkan jaman asah takut iran sikat ancurkan penjajah global propaganda srewel amerika basu dunia biadab manusiawi,-2,Negatif
bravo iran,0,Netral
trump tua busuk mamposss,-2,Negatif
indonesia silakan masuk amirika arab silakan masuk kasih duit tambahan,1,Positif
allahu akbar allahu akbar allahu akbar,0,Netral
aduuu hi kompas berita sportif,0,Netral
allah bantu iran berjuang dijalanmu,1,Positif
diperingatkan langsung tembak,0,Netral
menangis iran,-1,Negatif
situasi memanas rakyat iran berkerumun an lahan terbuka keamanan rakyat kepemerintahan iran cari solusi bungker aman,-1,Negatif
drama amerika serikat kalah telak,-3,Negatif
oten indonesia rakyat iran turun kejalan mendukung militer iran biar melek,0,Netral
trump ngawur,0,Netral
serbu amerika negara kapalkapal tangker minyak milik negaranegara didunia wilayah perairan iran blokade amerika serbu ramereme amerika itubikin kacau dunia iniitu wilayah iran wilayah amerika iran memasang tarif perlintasan wajar akibat negaranya bombardir amerika mengalami kerugian infrastrukturitu garagara amerika akibatnya iran membiayai infrastruktur negaranya hancur akibat diserang amerika israhell,-1,Negatif
kapal perang bersenjata kapal komersialngancam kapal bersenjata berani tembak,-5,Negatif
dural langsung perampok kasih adab,2,Positif
amerika serikat isrewel hantu dunia negara negara bersatu musnahkan hantu,-1,Negatif
wajah asli ajaran oten bungkus ajaran kasih pengacau dunia kejahatan pembantaian kerjanya menjajah negara indonesia luput kekejaman ajaran oten manusia bermoral,0,Netral
insyaallah allah swt iran,2,Positif
aduh sayang kalingpain usirdi rudal kesempatan langsung main rudal pemimpin target kesempatan usir piye,-1,Negatif
ketahuan bangsa rakus bangsa mempertahankan harga kedaulatan,0,Netral
kemarin perang kuatan rudal balistikskrg perang kuatan blokade selatperang,-2,Negatif
percaya amerika serikat negara panipu,1,Positif
ngakali trump,0,Netral
iran berdaulat,-1,Negatif
perang woy kasih peringatan menjauh tembak,-3,Negatif
langsung tenggelamkan kapal amerika serikat sandra kekuatan iran amerika serikat gagal cuap,0,Netral
keren gas pooll ratakan,-1,Negatif
namanya diusirbaik perorangan kelompok dihinakan,-1,Negatif
gempur kasih kendor,-1,Negatif
usir hancurkan,-1,Negatif
majulah kapal maju menyala kudi langit biru,-1,Negatif
amerika serikat zionis mengaplikasikan sila pancasila,0,Netral
persiden amerika mabuk kak turusan hormos iran amerika,0,Netral
allahhu akbar,0,Netral
hurmuz jatuh amerika serikat zioniz licik suka kuasai dunia memerangi bersalah,-1,Negatif
sebuk trump mengatur negara,0,Netral
kecewa umat manusia dunia lenyap kapal milik biang kerok dunia,0,Netral
hahaaa iran klaim banyaan boongnya iran berani cuman diusir knapa dihancurkan kapalnya kasihan iran berhalusinasi menutup malunya negara arab iran lemah berdaya,-1,Negatif
kena kapal cina rusia diblogade amerika serikat perang,-3,Negatif
amerika donald bebek biang kerok ntahlah sabar,0,Netral
bravo rakyat iran jiwa ksatria mental baja medan tempur menyerah,-1,Negatif
mampus kau amerika serikat modar kau esrael rudal iran peringatan,-2,Negatif
rezim setan iran sebentar selesai iran peta bravo israel,-2,Negatif
oraang gila kalah nyeret laiin diih gila,-1,Negatif
amerika cari gara negara,-2,Negatif
mimpi donald bebek allah tidur kejahatan israel,2,Positif
olah iran taji melawan oh berita indonesia amerika selat hormuz bersihkan selat hormuz jalur amerika bernegosiasi cepat lambat selat hormuz dikuasai amerika,-2,Negatif
uraaa bravo iran stay with you,0,Netral
malu rakyat dunia anti syiah jiwa jihad amar makruf nahi munkar nyata kholifah allah swt sunni acung jempol saudaraku iran syiah tokoh sunni diam sembunyi,3,Positif
manusia setan basmi donald bebek hak akui manusia kapir semoga allah menolong,2,Positif
bebek menang bacot doang,0,Netral
semoga allah membela kebenaran aminiran,1,Positif
omon omon tkt kritik rakyat,-1,Negatif
omon omon salut iran,0,Netral
iran melarang amerika uang negara miskin,-2,Negatif
langsung rudal biar kapal selam,0,Netral
seandainya infonesia pemimpin kaya iran berani kuat pembohong tkt amerika serikat rindu pemimpin,-2,Negatif
iran negara bermartabat dikasi peringatan kapal perang,-1,Negatif
amerika serikat rezim trump negara pencuri wkwkkw,0,Netral
amerika israel negara penjajah negara teroris terbesar muka bumi,0,Netral
amerika serikat mematuhi perundingan jalan satusatunya trumph diimpeachman china rusia serang amerika serikat perang dunia,-1,Negatif
iran jantan,1,Positif
bravo iran,0,Netral
usir pakai speedboat kasihan kapal perang amerika serikat lepeh kulit pisang terbalik speed boat irgc,-3,Negatif
indonesia pemimpin koyo asu,0,Netral
otak otak penjahat,0,Netral
langsung bom kapal amerka mengapai diperingati,0,Netral
wowo mediator damai,0,Netral
amrik langsung menembak kaya kapal selam iram ditembak iran diusir,-1,Negatif
hoax duusir kapal dilengkapi sebjata canggi iran pembohong,-3,Negatif
iran mantap,1,Positif
propaganda teruuuss,0,Netral
iran ber etikakalo posisi iran itudi posisi bangsattt pilihan tuhanseperti rudal kapall,1,Positif
diusir langsung dibom,0,Netral
trump netanyahu bumi bermoral firun berkuasa tuhan pemimpin dunia berani menghadapi langsung melawan dajjal penguasa iran rakyatnya,2,Positif
iran ber adab amerika musuh diperingatkan putar,0,Netral
trump mengomong renyah kaya krupukenteng bangetbicara kenyataan bangetpolitik trump menyenangkan hati rakyat prajuritnya,0,Netral
mantapbravo iran,0,Netral
dronnya nuju oten indonesia duaarrrr cocot oten indonesia busuk pnyembah lonteh setannyahu mamricacaca,-1,Negatif
harapan iran masuk wilayah praeran iran kapal amerika serikat kapal israel lakntullah langsung hujani rudal drown ecehan trump keturunan piraon tudak percaya dunia,-1,Negatif
penduduk muslim indonesia sungguh mendukung negara islam iran qatar yaman mengusir campur tangan pasukan militer amerika negara selat hormuz selat almandab semoga negaranegara teluk meniru merekaamin rabbal alamin,3,Positif
bbk trump terpastikan gila,0,Netral
wilayah iran oncom ribet oncom,-1,Negatif
bravo iran musnahlah trump israel,0,Netral
amerika serikat badut,0,Netral
kaya sikopat,0,Netral
bohong indonesia dunia bohong konohairan hancur berani lawan amerika serikat israel indonesia bohong,-3,Negatif
kompas cek sumber berita janganjangan hoax,-4,Negatif
laporan pro iran pakai semuapenuh kebohonganbeda israel usga cuman ngomongsekalian bukti serangan kehancuran nyata gaza irancoba bayanginuda terhitung pemimpin iran hizbulah hamas sikatpengen mengomong apai lagiya segitu cuman kerjanya iran hamas hizbulahbier kalah parah medan asel meneng medsosmenurut untung,-6,Negatif
pura pura trump berdamai,0,Netral
langsung rudal,1,Positif
astaghfirullahkok diusir rudal langsung biar mampus dirudalbahkan warga maninggal disuruh putar balekrudal langsungaduuhkok bodoh sihmusuh didepan didiamin andai masuk wilayah amerika serikat habis dirudal,-2,Negatif
usir bukanya rudal langsung,0,Netral
iran hati,0,Netral
iran bangsa pejuang sejati negara berani mengancam kapal amerika gagah mengusir kapal perang amerika salut bangsa iran,-3,Negatif
tembak langsung mengapai pakai usir,-1,Negatif
aha bayak kali bahong tembak langsung,0,Netral
bravo iran is best,0,Netral
mantap iran ayolah lanjutkan perang mantap,2,Positif
trump kocak,-1,Negatif
super power kroyokan an amsyong sekelas iran samain venezuela,0,Netral
drama negara rakus vs neegara pengecut nuklir langsung nuklirin israel negosiasi pemimpin tertinggi lu bunuh masyarakat bantai menunggu monyet perundingan,-2,Negatif
trump kesalah fatal menyerang negara iran berdaulat runyam ruwet ruwet joko berdampak negaranya negaranegara tingkat global,-5,Negatif
tembak kpal amerika serikat ancurkan,-1,Negatif
amerika negara premanpenjahat perang,-1,Negatif
trump donald bebek stres,-1,Negatif
sebenar iran langsung menenggelamkan nyatapi iran cerdasiran malu mamarica kesekian kalinya iran membuktikan negara adi daya berdaya goodbjob iran,2,Positif
negara obok dasar mamarakus,0,Netral
amerika perangkemudian iran menutup teluk hormuz akibat penyerangan inisekarang amerika muncul seakan pahlawanuntuk membebaskan teluk hormuspadahal teluk hormuz aman amerika serikat menyerang iranlawak,-2,Negatif
kapal cuap ngusir amerika serikat armada laut terkuat sejarah,-2,Negatif
ngusir pakai pakai getek,0,Netral
kla iran pegang kendalitembak kapal laut kla berani nembaktunjukan dunia oke,-1,Negatif
masuk crot wkwk,-1,Negatif
amerika menutup selat homuz amerika berisiko kena inflasi energi biaya militer kehilangan legitimasi eskalasi perang keuntungan iran narasi moralpolitik amerika serikat mengeskalasi leverage energi harga minyak dunia panikdaya tawar diplomatik tuntutan iran sulit diabaikankonsolidasi internal deterrence rakyat dirapatkan lawan iran kartu strategis,-2,Negatif
iran keok,-1,Negatif
bisah mengomong usir tidaknb mengapai mengomong,-1,Negatif
percaya berita nyakenapa usirkenapa hancurkan rudalkata iran kuatselat hormuz kuasa rudal kapal drone irankenapa usir ngusir anak meongkok tembak hancur,-3,Negatif
masuk china berani china hikhikhikhik,-1,Negatif
trump should keep his own door,0,Netral
bohongi film perang amerika terkalahkan sadar film,-1,Negatif
presiden salah bantal,0,Netral
negara sombong amerika seakan dunia miliknya zionis amerika laknat dajjal,-2,Negatif
ayo beli produk amerika,2,Positif
presiden trump terbodoh dunia,1,Positif
wkkkkkkk ngaciiiiirrrr,0,Netral
suasana perang langsung rudaltidak kasih peringatantetapi adab perang islam,2,Positif
cuba halang kapal china rusia tengok lakukan negara kapal korea utara,-3,Negatif
amerika sombong,-1,Negatif
ilaha illallah muhammadur rosulullah hasbunallah wal nikmal wakilnikmal maula wal nikman nasir kobarkan semangat muslimin wal muslimat muminin wal muminat musnahkan zionis perjuangan suci umat islam sedunia surga mawa tujuan umat islam sedunia mati syahid jalan pilihan umat islam sedunia,6,Positif
kompas tv media iq bisanya percaya video ah namnay media indonesia,0,Netral
iran kasih peringatan ditengah negosiasipdhl kesempatan emas hancurkan kapal amerika serikat,-1,Negatif
trump ente tmpleng xi jimping menangis yasllaammm,-1,Negatif
usir ditembak bom usir,-2,Negatif
berhentilah membanggabanggakan belajar amerika serikat membawa kemunafikan kesombongan kecongkakan faktanya lemah pengecut pecundang menyerang duluan keroyokan mencret bantu sanasini membantu memalukan belajar iran hidup singkat bermanfaat bermakna manusia bangsa negara lanjutkan perang ekonomi asisrael remuk merasakan petapa pedihnya menderita ekonomi rasakan rakyat iran palestina embargo negar penghamba setan gober setanyaho tuanya habiskan membunuh manusia jahatnya,-1,Negatif
trump berhasil membodohi warganya melumpuhkan kekuatan iranfaktanya perlawananbahkan pesawatnya rontogpangkalan militernya hancur lebur menekan iran genjatan senjatafaktanya amerika serikat memohon bernegosiasiterbukti iran mendekte amerika serikat memenuhi tuntutan iran,-1,Negatif
amerika malu masak blokade selat hormuz amerika,0,Netral
mulut donald bebek bau kentut jomberan bikin dunia aman,-3,Negatif
love iran,0,Netral
mundur kau kalah kapokkapok,-1,Negatif
habis gelap terbitlah terangiran negara cerdas bijak,-1,Negatif
amerika serikat terrorisnya dunia,0,Netral
duhhhhsalut dahbangsa iran bermental tungsten,0,Netral
balas iran satupun kapal selat hormuz selat hormuz,-1,Negatif
mesti oten video ai kapal induk mamarika tersakti termahal dunia rusak parah hajar balistik iran media tentara india bilang kapal induk amerika serikat rusak parah india upaya silakan baca tonton media percaya media indonesia,-5,Negatif
assalamualaikum bunuh musuhi negara berkepentingan hormuz,0,Netral
memblokade jualbeli minyak iran pelanggaran ekonomi internasional negara adikuasa menyengsarakan masyarakat islam dunia partner isrewel,1,Positif
bilang amerikamahgak t t ditanganirantp awas main nuklir loh,0,Netral
ngibul irgc jagox irgc kapal al trumbu karang,-2,Negatif
hahahahhaha lucu mah suara rekaman editan tunggu besok lusa habis pulau kharg,0,Netral
amerika serikat israel diposisi iran peringatan boom dunia condong iran taktiknya bnerdan menghindari planggaran,-1,Negatif
amerika berani perang mulut doang,-2,Negatif
oten kafir indonesia kekejangan pujaan oten dipermalukan,0,Netral
kejahatan melawan kekuatan dibantu allah,3,Positif
rudal sihtuman,0,Netral
ayo bom boman seraaang,1,Positif
kirim paket nuklir iran selesai lamalama hadapi iran,2,Positif
bravo iran lenyapkan zionis israel amerika munafik,0,Netral
hajar iran,-1,Negatif
bebek kalah telakk,-1,Negatif
sipirang mbacotnya gila idiot stupit gila bikin gadug dunia,-1,Negatif
gila trump bicara cocok perbuatannya bohong kau gila,-1,Negatif
hebatkalau berita mengusir kapal perusak amerika serikat,-3,Negatif
kalah kecewa sebentar gila,-2,Negatif
asek tawuran,0,Netral
negosiasi akal akalan teroris mamarika,1,Positif
amerika preman memaksa kapal kapal izin wilayahnya bayar preman dunia,-3,Negatif
pengecut licik penuh tipu tipu,0,Netral
amerika bertindak bodoh,-1,Negatif
wow hebat iraneskoun keroyok negara adidaya kaya kerupuk merengek bantuan sekutu,-1,Negatif
setantrump munafik bsar mulut,-1,Negatif
mengapai ancam omlgsung ditembak biar modar,-2,Negatif
tujuan israel amirika sesungguhnya merampok menjajah negara kekaya an melimpah negaranya amirika israel takut iran nuklir menjajah merampok,-1,Negatif
sepatutnya amirika memasuki wilayah negara memaksa menjajah,1,Positif
perampok sesungguhnya amerika serikat,1,Positif
bravo iran,0,Netral
hoax kapal amerika serikat masuk drun,-3,Negatif
menampak assprti anaka anak main keroyokan,-2,Negatif
rakyat malaysia percaya probowo ajar iran cakap rakyat iran keras kepala probowo layak presiden indonesia,2,Positif
ladang bisnis amerika iran kapal bayar iran bayar amerika,-1,Negatif
percaya mamarika licik mamarika lawan keras kapal us,0,Netral
sokong sepenuhnya iran irgc semoga allah swt bantu iran irgc hancurkan amerika zionis laknatullah muka bumi insyaallah allahumma sholli ala sayyidina muhammad waala alisaidina muhamad amin,2,Positif
rezim iran membunuh tega warga iran satupun warga indonesia empatinya warga iran terbunuh membela ircc jati berperikemanusiaan warga kokoha lupa siksa kubur menemui ajal kelak media indonesia cendrung membela rezim barangkali terkontaminasi paham teroris lihat kanal et news kanal ppr global kanal i kanal bisnis geopolitik kanal amerika serikat israel serang rezim takut tehnik rezim pelindung manusia jembatan jaringan listrik iran diserang amerika serikat israel takut strategi rezim pengecut tuhan allah memberkatimu amerika serikat israel lihat endingnya rezim lenyap iran,0,Netral
semoga iran menang melawan penjajah,0,Netral
amerika serikat menyerang duluan negosiasi,0,Netral
langsung musnahkan kpl kpl donald trump biar modar crew amerika,0,Netral
megada ngada trump negara iran berhak hak mutlak iran amerika malu otaknya masuk air,-4,Negatif
amerika serikat kabur terkencing kencing,-2,Negatif
mantab iran negara muslim sejati berani melawan negara sionis penjajah israel amirika wargamuslim cumabisa mendoakan semoga iran kekuatan kemenangan amin,3,Positif
mengapai usir rudal langsuang kayaknya iran melemah,-3,Negatif
negara negara islamsaudaramu diserang penjajah,-1,Negatif
allah menangkanlah iran amin,1,Positif
tindakkan kejhatan amarika kehidupan umat dunia,1,Positif
kayaknya seru film,-1,Negatif
bacot trumpsemoga balasan setimpal maha kuasa,3,Positif
amerika serikat super power tahi kucing,-1,Negatif
amerika tunduk iran,0,Netral
percaya rezim syiah iran persia pakai jurus taqiya hati hati tipu,1,Positif
pernyataan amerika sungguh memalukan,0,Netral
retorika berani pasukan teroris amerika serikat takut mati,-1,Negatif
habisi amerika bravo iran,0,Netral
minyakiran ngapa donald bebek kepanasandasar iblis wujud manusia,1,Positif
dram berani coba terjun langsung lapangan,2,Positif
berita bohong berperang mengusir kapal perusak irankan langsung menembak kapal perusak amerika serikat pembohongpembohong berita kanoha,-5,Negatif
hancurkan amerika israel,0,Netral
gemoy omon omon juru damai us vs iran,0,Netral
maju tumpas pe njajah,-1,Negatif
iran kapal perang us hormuz bikin drama ngusir kapal perang dasar tukang ngibul ngibul bertolak singkron haduuu bul ngibul,-7,Negatif
iran menyebarkan hoax negara pendukung indomi harap media tolong bicara kebenaran media indonesia berita palsunya heran heran heran indonesia,-1,Negatif
rakyat indonesia mendukung penuh iran doa doa kamisemoga iran kuat,0,Netral
negara berkembang perang dunia drpda keadilan pbbb berguna,0,Netral
mantap langsung serang perang,0,Netral
iran minyak amerika sengsara butuh minyak harga pangan amerika serikat,-1,Negatif
omon blokadektnya negara adidaya,0,Netral
amerika serikat lawan seimbang trump pening yahudi ketakutan,-2,Negatif
amerika serikat penjahat kelas dunia terbukti negara hasil tambang kuasai tunduk mamarika bravo iran maju amerika serikat menginjakkan kaki timur tunduk amerika serikat,1,Positif
ayam sayur ciut lehernya dicekek tinggal sembelih ustadz iran,0,Netral
negara berhubungan dngn amerika serikat apapun bidangnya tunggu datangnya rudal zhejjilll,0,Netral
drama kolosal dipercayadiberitakan media indonesia wkwwkk,-1,Negatif
amerika masuk selat hormuz dipaksa masuk resiko tenggelam masuk zona jangkauan rudal balistik iran,-4,Negatif
media sekelas kompas hoaxberita kapal amerika serikat melewati selat hormuz amantonton berita negerimediabindonesia penyebar hoax,-3,Negatif
barusan kapal amerika masuk keselat hormuz bebas melenggang mengganggu irgc berani menyerang cumak mondar mandiraja,-4,Negatif
hebat warga iran mendukung pemerintahan hadapi setan setan,-2,Negatif
blokade alasan doang numpuk kapal amerika serikat teluk hormuz menyerang,-3,Negatif
mengapai perang nikmati hidup,0,Netral
malu trump,0,Netral
iran best bangga irannegara melawan pembunuh massal penjajah biadab prayfor iran,1,Positif
bravo iran oten pesek kecewa kekuatan super power,1,Positif
kawan amerika turunkan militer penuh iran habis dimuka bumi berdoa negara iblis iran lenyap muka bumi,-2,Negatif
diusir langsung diledakan,0,Netral
allahuakbar allahuakbar allahuakbar tentara allah,1,Positif
didalam negeri trump menghadapi dimakzulkan dianggap pikun offside,-1,Negatif
donald bebek cari gara iran hajarabis,-2,Negatif
teroris adi daya usir anak anjing,-2,Negatif
donald trump licik,0,Netral
malu bantuan natootak trump dorsmers biar bersihmenutupin kekalahanbravo iran,0,Netral
iran mati hidup pertahankan hurmuz hurmuz satunya senjata mendukung iran angin,1,Positif
neg didunia satupun mengusir melawan keras amerika biadabkecuali neg islam iran mengusir bersembah pantatnya trump bebek,-1,Negatif
media sampahrezim pembunuh punahmasih hibur,0,Netral
iran berhak mempertahan selat hurmuz,0,Netral
masuk diusir bravo iran,-2,Negatif
trump berkoar koar menutupi kekalahannya melawan iran kesombongan trem hancur tangan tentara iran,1,Positif
trump manusia kera ingkar,-1,Negatif
kapal perusak cegat muka pakai kapal boat perang masuk perairan dalih membersihkan ranjau laut ahhhhhh tipu daya banget pasukan voc,-7,Negatif
iirrraaaannnn awww,0,Netral
trump rudal biar mulut kaya comberan,-2,Negatif
allah kekuatan keberanian iran usir kapal amerika serikat selat hormuz,0,Netral
tutup selat hormuz wowo dpr bubar,-1,Negatif
allahuakbar bravo iran hatam kapal amerika selat hormuz timur bumi hanguskan zionis bunuh donald bebek bunuh benyamin tukang merdeka bangsa palestin,-4,Negatif
terima kasih iran membela negaranya membela umat muslim dunia sehat umurnya berkah barokah berlimpah urusan mudahkan tuhan sukses dunia ahkerat islam bangkit berjuang melawan bangsa setan sejarah penjahat menang sehebat apapun senjatanya apapun tentaranya bertahun menyerang negara islam merampok merampas membunuh fitnah ending sejarah islam kalah melawan bangsa setan tuhan maha kuasa maha monster tua bau tanah iblis gangster teroris monster bangsa pilihan setan terkubur setan gemas lihat pemimpin berhati gangster manusia moral ahlaq etika atitudnya bejad busuk otaknya hatinya buta jadikan pemimpin,3,Positif
taqiyah iran propaganda video video perang kapal hormuz langsung ditembak,-1,Negatif
berita iran hoax irgc suka bohong,-3,Negatif
waohhh iran mengusir kapal perusak amerika serikat,-2,Negatif
mengapai pakai pringatan langsung bom,1,Positif
takut amerika serikat,0,Netral
usir kapal perusak destroyers pakai speed boat menonton beritanya logikanya usir speedboat destroyer langsung panik,-3,Negatif
hebat keberanian iran mantap langsung hancurkan kapal musuh sombong,-1,Negatif
setan setan amerika serikat donald trump musnakan iran lawan,-2,Negatif
tromp blokadetrus kapal negara seranggak papakalo kapal rusia china serangbiar rame,-2,Negatif
amerika gempur rame,-1,Negatif
langsung rudal peringatkan,1,Positif
israil doyan tembak tembakan gadget dunia nyata,-1,Negatif
oten budak yahudi kabur,0,Netral
usir kemampuan iran cuman usir dirudal langsung musuh didpn mata bodoh,-2,Negatif
trump memblokade selat hormuz kapal destroyer amerika serikat bully boat iran,-2,Negatif
allahuakbar allahuakbar allahuakbar allahuakbar maju,0,Netral
selat hormuz hak milik irantramp main enaknya sendiritramp golingkan rakyatnya,1,Positif
tembak biar mampus,-2,Negatif
donald bayak bacot,0,Netral
keren iran maju insyaallah menang,1,Positif
